Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 INVESTMENTS LTD,9.95,PKR,10.86,PKR,9.6,PKR,10.86,PKR,348692,10.141987829614605
AABS,AL-ABBAS SUGAR MILLS LTD,1119.37,PKR,1150,PKR,1010,PKR,1124.52,PKR,296,0.4600802236972665
AATM,ALI ASGHAR TEXTILE MILLS LTD (defaulter),45.93,PKR,45.94,PKR,44.03,PKR,45.33,PKR,8848,0.42091271599467817
ABL,ALLIED BANK LTD,188,PKR,190,PKR,186.5,PKR,186.89,PKR,83813,0.01605480038530061
ABOT,ABBOTT LABORATORIES (PAKISTAN) LTD,1160,PKR,1169,PKR,1150.5,PKR,1161.13,PKR,27745,1.6733507294093037
ACPL,ATTOCK CEMENT PAKISTAN LTD,291,PKR,308.5,PKR,290.2,PKR,294.13,PKR,2145889,0.3274550602039702
ADAMS,ADAM SUGAR MILLS LTD,69.49,PKR,70,PKR,69,PKR,69.52,PKR,348,0
ADMM,ARTISTIC DENIM MILLS LTD,58.8,PKR,58.8,PKR,56.11,PKR,57.99,PKR,32334,-3.0753802440247306
AGHA,AGHA STEEL INDUSTRIES LIMITED,9.1,PKR,9.1,PKR,8.88,PKR,8.98,PKR,2003746,-0.9922822491730965
AGIC,ASKARI GENERAL INSURANCE CO. LTD,44,PKR,44.47,PKR,42.5,PKR,42.81,PKR,53978,0
AGIL,AGRIAUTO INDUSTRIES LTD,150,PKR,156,PKR,149,PKR,149.49,PKR,102283,-0.44619072988811104
AGL,AGRITECH LTD,75.5,PKR,80.94,PKR,74,PKR,79.32,PKR,4083235,6.742026645135232
AGP,AGP LTD,214.7,PKR,214.99,PKR,207.11,PKR,207.97,PKR,163528,-1.836118191258385
AGSML,ABDULLAH SHAH GHAZI SUGAR MILLS LTD,8.9,PKR,9.13,PKR,8.85,PKR,9.01,PKR,407508,2.3863636363636256
AGTL,AL-GHAZI TRACTORS LTD,415.01,PKR,418.89,PKR,410.41,PKR,411.49,PKR,14441,-1.4017347965687368
AHCL,ARIF HABIB CORPORATION LTD,12.32,PKR,12.48,PKR,12.25,PKR,12.31,PKR,553489,-0.08116883116882943
AHL,ARIF HABIB LTD,79.35,PKR,79.35,PKR,78.15,PKR,78.2,PKR,2667,-0.25510204081633014
AHTM,AHMED HASSAN TEXTILE MILLS LTD,81.94,PKR,81.94,PKR,78.05,PKR,80.33,PKR,622,-1.9648523309738826
AICL,ADAMJEE INSURANCE CO LTD,71.99,PKR,72.49,PKR,70.05,PKR,70.44,PKR,209277,-1.4825174825174858
AIRLINK,AIR LINK COMMUNICATION LIMITED,137.75,PKR,142.74,PKR,137,PKR,140.43,PKR,2519723,1.8051326663766922
AKBL,ASKARI BANK LTD,73,PKR,74,PKR,71.4,PKR,71.75,PKR,4644184,-1.6988628579257363
AKDHL,AKD HOSPITALITY LIMITED ,177.02,PKR,180,PKR,176.51,PKR,176.87,PKR,201,-1.7388888888888863
AKDSL,AKD SECURITIES LIMITED,32.67,PKR,32.99,PKR,31.81,PKR,32.33,PKR,366907,0.030940594059399782
AKGL,AL-KHAIR GADOON LTD,55.5,PKR,55.5,PKR,55.5,PKR,55.12,PKR,300,0
ALAC,ASKARI LIFE ASSURANCE CO LTD,9.87,PKR,9.89,PKR,9.4,PKR,9.49,PKR,467460,-3.850050658561287
ALIFE,ADAMJEE LIFE ASSURANCE COMPANY LIMITED,33.81,PKR,34.89,PKR,33.07,PKR,34,PKR,38810,0
ALNRS,AL-NOOR SUGAR MILLS LTD,95.2,PKR,95.2,PKR,90.09,PKR,90.85,PKR,420,-4.146444397552234
ALTN,ALTERN ENERGY LTD,11.37,PKR,11.64,PKR,11.21,PKR,11.5,PKR,676761,1.7699115044247724
AMBL,APNA MICROFINANCE BANK LTD,10.5,PKR,12.24,PKR,10.5,PKR,11.17,PKR,37,0
AMTEX,AMTEX LTD (defaulter),3.72,PKR,3.76,PKR,3.56,PKR,3.61,PKR,2663227,-1.0958904109589052
ANL,AZGARD NINE LTD,12.47,PKR,12.47,PKR,12.06,PKR,12.17,PKR,1526697,-1.6962843295638192
ANTM,AN TEXTILE MILLS LTD,34.51,PKR,37.07,PKR,33.72,PKR,37.07,PKR,74222,9.999999999999993
APL,ATTOCK PETROLEUM LTD,542,PKR,544,PKR,530,PKR,534.85,PKR,84628,-1.2061768074180748
ARCTM,ARCTIC TEXTILE MILLS LIMITED,39.5,PKR,39.5,PKR,38.75,PKR,38.85,PKR,982,-0.15420200462604772
ARPAK,ARPAK INTERNATIONAL INVESTMENTS LTD,62,PKR,63,PKR,62,PKR,65.06,PKR,95,0
ARPL,ARCHROMA PAKISTAN LTD,450.01,PKR,453,PKR,447.51,PKR,447.98,PKR,4008,-0.6586096019514294
