Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,11.85,PKR,11.85,PKR,11.25,PKR,11.48,PKR,27161,0.34965034965035774
AABS,Al-Abbas Sugar Mills Ltd.,1095,PKR,1095,PKR,1078,PKR,1087.33,PKR,89,-0.008276470912816162
AATM,Ali Asghar Textile Mills Limited,56.98,PKR,56.98,PKR,53.2,PKR,55.37,PKR,4463,0.41712005803408936
ABL,Allied Bank Limited,177.26,PKR,178.99,PKR,171.11,PKR,175.05,PKR,142724,-1.2467561773665687
ABOT,Abbott Laboratories Pakistan Limited,1145,PKR,1155,PKR,1140,PKR,1144.94,PKR,27603,0.49415874520544095
ACPL,Attock Cement Pakistan Limited,295,PKR,297,PKR,289,PKR,289.39,PKR,543078,-1.3700964520636782
ADAMS,Adam Sugar Mills Limited,70.42,PKR,74.85,PKR,70.42,PKR,71,PKR,565,-3.4013605442176873
ADMM,Artistic Denim Mills Limited,58.6,PKR,60.88,PKR,58.11,PKR,60.05,PKR,26749,0.36770850743773836
AGHA,Agha Steel Industries Ltd.,9.29,PKR,9.58,PKR,9.14,PKR,9.17,PKR,14635205,-2.134471718249726
AGIC,Askari General Insurance Co. Ltd.,47.2,PKR,47.2,PKR,46.52,PKR,46.55,PKR,28793,-0.5979073243647259
AGIL,Agriauto Industries Limited,140.99,PKR,140.99,PKR,138.2,PKR,138.86,PKR,63877,-1.0193171288046037
AGL,Agritech Limited,74.4,PKR,76.5,PKR,72.05,PKR,75.9,PKR,1433056,2.387697288547161
AGP,AGP Limited,192,PKR,192,PKR,189,PKR,189.83,PKR,97241,-1.1405061972711164
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,9.52,PKR,10.2,PKR,9.45,PKR,9.82,PKR,3281694,3.151260504201688
AGTL,Al-Ghazi Tractors Ltd.,403,PKR,404.2,PKR,400,PKR,400.58,PKR,19303,-0.26143465378582564
AHCL,Arif Habib Corporation Limited,13.37,PKR,13.37,PKR,13,PKR,13.09,PKR,2542459,-0.9833585476550739
AHL,Arif Habib Limited,93.1,PKR,94.45,PKR,93.09,PKR,93.46,PKR,56230,0.4946236559139718
AHTM,Ahmed Hassan Textile Mills Ltd.,78.53,PKR,80,PKR,70.76,PKR,80,PKR,337,1.871896090665986
AICL,Adamjee Insurance Co. Limited,70,PKR,70.25,PKR,68.11,PKR,68.68,PKR,487391,-1.1656353432148339
AIRLINK,Air Link Communication Ltd.,158,PKR,165.4,PKR,155.01,PKR,159.82,PKR,6362121,2.271709221219673
AKBL,Askari Bank Limited,78.53,PKR,79.4,PKR,76.05,PKR,78.56,PKR,1700631,0.03820196103400119
AKDHL,AKD Hospitality Limited,179.51,PKR,183,PKR,178.51,PKR,178.85,PKR,511,-0.9086375976508475
AKDSL,AKD Securities Limited,33.48,PKR,34,PKR,31.9,PKR,33.79,PKR,1619927,1.9306184012066383
AKGL,Al-Khair Gadoon Limited,58.3,PKR,58.3,PKR,57.99,PKR,58.3,PKR,4231,9.999999999999995
ALAC,Askari Life Assurance Co. Ltd.,12.5,PKR,12.88,PKR,11.21,PKR,11.66,PKR,4876496,-4.03292181069959
ALIFE,Adamjee Life Assurance Company Limited,35,PKR,36,PKR,35,PKR,35.99,PKR,39203,3.538550057537411
ALNRS,Al-Noor Sugar Mills Limited,92.02,PKR,99.95,PKR,92,PKR,99.89,PKR,1013,8.317067881153765
ALTN,Altern Energy Limited,12.02,PKR,12.39,PKR,11.8,PKR,12.07,PKR,5394707,-4.054054054054053
AMBL,Apna Microfinance Bank Limited,11.14,PKR,11.14,PKR,11.14,PKR,11.14,PKR,30,0
AMTEX,Amtex Limited,3.99,PKR,4.04,PKR,3.93,PKR,3.95,PKR,1357058,0.25380710659899064
ANL,Azgard Nine Limited,12.7,PKR,12.93,PKR,12.4,PKR,12.7,PKR,1592551,1.43769968051118
ANSM,Ansari Sugar Mills Limited,22.5,PKR,23.01,PKR,22.5,PKR,23.01,PKR,158766,9.990439770554492
ANTM,AN Textile Mills Limited,30.4,PKR,30.4,PKR,27.1,PKR,28.04,PKR,7030,-5.937604830593759
APL,Attock Petroleum Limited,518.02,PKR,527.99,PKR,518.02,PKR,520.39,PKR,29478,-0.6567016016646726
ARCTM,Arctic Textile Mills Limited,38.8,PKR,38.85,PKR,36.11,PKR,37.08,PKR,4635,-4.678663239074551
ARPAK,Arpak International Investments Ltd.,58,PKR,69.99,PKR,57.43,PKR,61.04,PKR,1623,-4.341012380504628
ARPL,Archroma Pakistan Limited,454.17,PKR,480,PKR,454.17,PKR,471.28,PKR,21097,3.4484272449897886
ARUJ,Aruj Industries Ltd.,9.58,PKR,9.6,PKR,9.25,PKR,9.58,PKR,28165,1.0548523206751017
ASC,Al Shaheer Corp. Ltd.,19.02,PKR,19.22,PKR,17.4,PKR,17.68,PKR,7287837,-7.045215562565719
ASHT,Ashfaq Textile Mills Limited,27.5,PKR,27.5,PKR,25,PKR,25.47,PKR,15600,-7.314410480349351
ASIC,Asia Insurance Co. Ltd. (Pakistan),18.7,PKR,18.7,PKR,18.7,PKR,17,PKR,10,-9.090909090909086
ASL,Aisha Steel Mills Ltd.,14.9,PKR,15.09,PKR,14.2,PKR,14.35,PKR,6142729,-3.4969737726967023
ASTL,Amreli Steels Ltd.,23.22,PKR,24.19,PKR,23.22,PKR,23.37,PKR,1949276,0.6459948320413529
ASTM,Asim Textile Mills Ltd.,33.49,PKR,33.49,PKR,31.71,PKR,31.98,PKR,23382,-0.4668534080298852
ATBA,Atlas Battery Limited,250.53,PKR,256,PKR,250.1,PKR,253.33,PKR,65363,1.117630623079077
ATIL,Atlas Insurance Limited,81.95,PKR,81.95,PKR,79.25,PKR,79.5,PKR,2980,-1.2545025462675508
ATLH,Atlas Honda Limited,1224.47,PKR,1230.98,PKR,1105,PKR,1230,PKR,7806,0.4524443428123388
ATRL,Attock Refinery Ltd,661.9,PKR,666,PKR,655.1,PKR,656.15,PKR,720531,-0.8747016345892493
AVN,Avanceon Ltd.,48.93,PKR,48.97,PKR,48.35,PKR,48.63,PKR,1604423,-0.6131207847945987
BAFL,Bank Alfalah Limited,104,PKR,107.99,PKR,103.33,PKR,107.58,PKR,3756809,3.392599711677079
BAFS,Baba Farid Sugar Mills Limited,215.25,PKR,229.65,PKR,212.1,PKR,213.45,PKR,2265,-7.025873333914114
BAHL,Bank Al Habib Ltd.,190,PKR,196.99,PKR,190,PKR,195.58,PKR,213409,1.9654866795266204
BAPL,Bawany Air Products Limited.,49.91,PKR,49.97,PKR,49,PKR,49.06,PKR,27531,-1.801441152922335
BATA,Bata Pakistan Limited,1546.25,PKR,1548.9,PKR,1530,PKR,1544.16,PKR,1052,-0.0692453550604076
BBFL,Big Bird Foods Limited,48.43,PKR,48.9,PKR,47.7,PKR,47.95,PKR,2475004,-0.16656256506349842
BCL,Bolan Castings Ltd.,109.89,PKR,109.89,PKR,106.61,PKR,107.49,PKR,54726,-1.049433858050263
BECO,BECO Steel Limited,20.47,PKR,20.62,PKR,19.1,PKR,19.31,PKR,2186163,-4.216269841269849
BELA,Bela Automotives Ltd.,118.25,PKR,131,PKR,118.25,PKR,125.03,PKR,1503,2.2991327115038476
BERG,Berger Paints Pakistan Limited.,117.01,PKR,117.01,PKR,114.2,PKR,115.4,PKR,116277,-0.9527079220667749
BFAGRO,Barkat Frisian Agro Limited,43.36,PKR,46.37,PKR,43.2,PKR,45.3,PKR,6383864,4.958294717330864
BFBIO,BF Biosciences Ltd,170,PKR,171.9,PKR,168,PKR,168.71,PKR,477985,-0.005926979611184747
BFMOD,BF Modaraba,12.82,PKR,13.49,PKR,12.61,PKR,13.49,PKR,18410,-0.735835172921263
BGL,Balochistan Glass Ltd.,12.09,PKR,12.5,PKR,11.9,PKR,12.36,PKR,1818007,3.6043587594300064
BHAT,Bhanero Textile Mills Limited.,974.7,PKR,974.7,PKR,920,PKR,941.65,PKR,667,-0.7232396073842146
BIFO,Biafo Industries Limited,186,PKR,188.65,PKR,183,PKR,185.39,PKR,117127,-0.6218172071830742
BILF,Bilal Fibres Limited,23.89,PKR,24.5,PKR,23.3,PKR,23.8,PKR,399796,-0.5847953216374292
BIPL,BankIslami Pakistan Limited,34.54,PKR,34.9,PKR,34.5,PKR,34.52,PKR,971239,-0.5760368663594347
BML,Bank Makramah Limited,5.55,PKR,6,PKR,5.52,PKR,5.94,PKR,23880050,5.693950177935949
BNL,Bunny's Ltd.,89.98,PKR,98.16,PKR,88,PKR,98.16,PKR,3284737,9.995517705064996
BNWM,Bannu Woollen Mills Limited,80,PKR,82.99,PKR,77,PKR,79.22,PKR,164001,-0.9006755066299711
BOK,Bank of Khyber,24.88,PKR,27,PKR,24.88,PKR,26.61,PKR,187281,6.953376205787783
BOP,Bank of Punjab,17.24,PKR,18.2,PKR,16.91,PKR,17.58,PKR,174386202,6.031363088057902
BPL,Burshane LPG (Pakistan) Limited,34.5,PKR,35.47,PKR,34.01,PKR,34.48,PKR,2947,-0.5767012687427994
BRRG,B.R.R. Guardian limited,32,PKR,32.47,PKR,31.5,PKR,31.54,PKR,32642,-2.8641823221435163
BTL,Blessed Textiles Limited,308.48,PKR,316,PKR,308.48,PKR,308.63,PKR,106,0.048625518672191795
BUXL,Buxly Paints Limited,175.99,PKR,175.99,PKR,170,PKR,174.09,PKR,977,1.1269241940168444
BWCL,Bestway Cement Limited,580,PKR,580,PKR,574.08,PKR,574.77,PKR,13486,0.12019230769229738
BWHL,Baluchistan Wheels Limited,183,PKR,183.9,PKR,181,PKR,181.9,PKR,36503,0.49723756906077665
CASH,CALCORP Limited,41.75,PKR,42,PKR,38.6,PKR,38.6,PKR,2000,0.07778065854291195
CCM,Crescent Cotton Mills Limited,46.59,PKR,56.93,PKR,46.59,PKR,56.93,PKR,8279,10.00966183574879
CENI,"Century Insurance Co., Ltd.",47.19,PKR,47.19,PKR,45.66,PKR,45.47,PKR,699,0
CEPB,Century Paper & Board Mills Limited,27.47,PKR,27.87,PKR,27.02,PKR,27.49,PKR,488890,1.0290334435869077
CFL,Crescent Fibres Limited,50,PKR,53,PKR,50,PKR,50.05,PKR,12,-3.7500000000000053
CHAS,Chashma Sugar Mills Limited,69,PKR,70,PKR,66,PKR,69.96,PKR,5741,3.475817186806677
CHBL,Chenab Limited,24,PKR,25.15,PKR,24,PKR,24.1,PKR,253135,-0.7413509060955507
CHCC,Cherat Cement Co. Ltd.,355,PKR,357.79,PKR,345,PKR,348.39,PKR,103841,-1.6319846401445717
CJPL,Crescent Jute Products Ltd.,11.29,PKR,11.6,PKR,11.06,PKR,11.21,PKR,151767,-0.7964601769911492
CLOV,Clover Pakistan Limited,42.99,PKR,43.1,PKR,41.75,PKR,41.93,PKR,224507,-1.085161594715737
CLVL,Cordoba Logistics & Ventures Limited,19,PKR,20,PKR,18.5,PKR,19.5,PKR,63656,4.895104895104896
CNERGY,Cnergyico Pk Limited,7.3,PKR,7.32,PKR,7.12,PKR,7.22,PKR,17156609,-0.41379310344827924
COLG,Colgate-Palmolive (Pakistan) Limited,1286,PKR,1304,PKR,1280,PKR,1297.86,PKR,130581,0.9230242847922527
CPHL,Citi Pharma Ltd.,93.95,PKR,95.4,PKR,93.4,PKR,94.28,PKR,8124732,1.3545474091593261
CPPL,Cherat Packaging Limited,107,PKR,107.89,PKR,107,PKR,107.02,PKR,45820,-0.6590550450199646
CRTM,Crescent Textile Mills Ltd.,22.7,PKR,23.23,PKR,22.42,PKR,22.57,PKR,631513,0.08869179600886729
CSAP,Crescent Steel & Allied Products Ltd,104.48,PKR,104.49,PKR,102.4,PKR,103.23,PKR,396145,-0.7880826525708728
CSIL,Crescent Star Insurance Co. Ltd.,4.22,PKR,4.38,PKR,4.15,PKR,4.16,PKR,1627487,-1.4218009478672893
CTM,Colony Textile Mills Ltd.,6.3,PKR,7.14,PKR,6.1,PKR,6.8,PKR,7884297,9.324758842443732
CWSM,Chakwal Spinning Mills Limited,34.4,PKR,35.25,PKR,32.53,PKR,34.43,PKR,385684,2.045050385299341
CYAN,CYAN Ltd,39.9,PKR,39.9,PKR,38.08,PKR,38.71,PKR,160432,-1.576404780066101
DAAG,Data Agro Ltd.,101.99,PKR,112.39,PKR,101.99,PKR,112.39,PKR,38655,10.002936282666143
DADX,Dadex Eternit Limited,65.02,PKR,66.7,PKR,64.7,PKR,66.65,PKR,3071,1.0767364270549105
DBCI,Dadabhoy Cement Industries Limited,8.05,PKR,8.05,PKR,7.7,PKR,7.79,PKR,249667,-1.8891687657430773
DCL,Dewan Cement Ltd.,13.85,PKR,13.9,PKR,13.38,PKR,13.43,PKR,6563208,-3.0324909747292415
DEL,Dawood Equities Limited,16,PKR,16.9,PKR,15.99,PKR,16.53,PKR,15821,2.3529411764706043
DFML,Dewan Farooque Motors Limited,33.91,PKR,36.75,PKR,33.8,PKR,36.41,PKR,16892785,7.119741100323608
DFSM,Dewan Farooque Spinning Mills Limited,6.04,PKR,6.17,PKR,6,PKR,6.04,PKR,314725,-0.1652892561983436
DGKC,D.G. Khan Cement Co. Ltd.,209.99,PKR,210.49,PKR,205.45,PKR,205.84,PKR,3903638,-1.6155243284580802
DHPL,DH Partners Limited,42.97,PKR,44.3,PKR,42.5,PKR,44.05,PKR,1210709,1.0784763653051832
DIIL,Diamond Industries Limited,35,PKR,35,PKR,31.3,PKR,34.14,PKR,236,0
DINT,Din Textile Mills Limited,78.2,PKR,79,PKR,75.11,PKR,75.82,PKR,1606,-5.2013003250812835
DLL,Dawood Lawrencepur Limited,363.42,PKR,363.42,PKR,315.01,PKR,332.11,PKR,9941,0.5236394454870205
DMC,D.M. Corporation Limited,50,PKR,50,PKR,50,PKR,49.01,PKR,1,8.189845474613689
DMTM,Dewan Mushtaq Textile Mills Limited,17.35,PKR,18,PKR,15.27,PKR,15.3,PKR,275469,-9.84089569829109
DNCC,Dandot Cement Co. Ltd.,16,PKR,16.23,PKR,15.51,PKR,15.81,PKR,89044,0.6365372374283872
DOL,Descon Oxychem Limited,35.15,PKR,36.5,PKR,35.15,PKR,36.36,PKR,1720823,3.530751708428252
DSIL,D.S. Industries Ltd.,6.02,PKR,6.18,PKR,6.01,PKR,6.06,PKR,568223,-0.4926108374384277
DSL,Dost Steel Ltd.,9.5,PKR,9.95,PKR,9.4,PKR,9.5,PKR,2699654,0.7423117709437994
DWAE,Dewan Automotive Engineering Ltd.,29.5,PKR,29.5,PKR,28.2,PKR,28.78,PKR,8729,-0.8611780916293489
DWSM,Dewan Sugar Mills Limited,6.69,PKR,6.69,PKR,6.25,PKR,6.57,PKR,59440,-0.45454545454544487
DWTM,Dewan Textile Mills Limited,7.3,PKR,7.8,PKR,7.3,PKR,7.74,PKR,2930,1.5748031496063006
DYNO,Dynea Pakistan Limited,286.9,PKR,290,PKR,282,PKR,288.26,PKR,14530,1.2682241349025167
ECOP,Ecopack Limited,71.75,PKR,73.1,PKR,67.85,PKR,68.2,PKR,2766142,-4.173106646058731
EFERT,Engro Fertilizers Ltd.,204.5,PKR,211.2,PKR,203.25,PKR,209.74,PKR,1878874,2.587429689410624
EFUG,EFU General Insurance Ltd.,128.98,PKR,130,PKR,123.06,PKR,129.99,PKR,15517,2.016951812902219
EFUL,EFU Life Assurance Limited,159.99,PKR,160,PKR,158,PKR,158.02,PKR,1219,-1.1880940470234975
ELCM,Elahi Cotton Mills Limited,248,PKR,248,PKR,215.02,PKR,221.87,PKR,138,-4.784996995966013
ELSM,Ellcot Spinning Mills Limited,125,PKR,125,PKR,125,PKR,121,PKR,2,0
EMCO,Emco Industries Limited,60.8,PKR,66.88,PKR,60.21,PKR,64.71,PKR,113044,6.081967213114744
ENGROH,Engro Holdings Limited,214,PKR,231.1,PKR,213,PKR,228.97,PKR,9304764,6.975331713698378
EPCL,Engro Polymer & Chemicals Limited,32.1,PKR,32.65,PKR,30.6,PKR,30.73,PKR,4624914,-4.058694973462381
EPQL,Engro Powergen Qadirpur Ltd,29.35,PKR,29.35,PKR,29.01,PKR,29.21,PKR,210371,0.06851661527920375
ESBL,Escorts Investment Bank Limited,6.6,PKR,6.6,PKR,6.01,PKR,6.01,PKR,38709,-5.503144654088058
EXIDE,Exide Pakistan Ltd.,740,PKR,740.02,PKR,733.01,PKR,734.7,PKR,5749,-0.573794895390696
FABL,Faysal Bank Limited,80,PKR,80.1,PKR,78.26,PKR,78.76,PKR,1716261,-0.7435412728418264
FANM,First Al-Noor Modaraba,5.67,PKR,5.94,PKR,5.67,PKR,5.86,PKR,163053,2.626970227670759
FASM,Faisal Spinning Mills Limited,373,PKR,384.99,PKR,373,PKR,379.12,PKR,580,-1.5195989297867423
FATIMA,Fatima Fertilizer Co. Ltd.,120.99,PKR,124.89,PKR,120.99,PKR,123.18,PKR,1574408,1.8858560794044674
FCCL,Fauji Cement Co. Ltd.,58.99,PKR,60.7,PKR,57.75,PKR,58.06,PKR,14869670,-2.354524049781363
FCEL,First Capital Equities Ltd.,5.99,PKR,5.99,PKR,5.4,PKR,5.52,PKR,101540,-1.0752688172043101
FCEPL,Frieslandcampina Engro Pakistan Limited,85.15,PKR,86,PKR,85,PKR,85.56,PKR,426213,0.3871876099964781
FCIBL,First Credit & Investment Bank Limited,13.74,PKR,13.74,PKR,13.22,PKR,13.65,PKR,5075,-0.5826656955571745
FCL,Fast Cables Ltd.,23.91,PKR,24.1,PKR,23.45,PKR,23.56,PKR,5766173,-1.6694490818030139
FCSC,First Capital Securities Corporation Limited,2.88,PKR,3.16,PKR,2.88,PKR,3.01,PKR,3309866,-1.9543973941368098
FDPL,First Dawood Properties Limited,7,PKR,7.01,PKR,6.8,PKR,6.98,PKR,1415291,0.5763688760806921
FECM,First Elite Capital Modaraba,24.5,PKR,24.5,PKR,24.5,PKR,24.38,PKR,485,0
FECTC,Fecto Cement Limited,96,PKR,96,PKR,90,PKR,92.02,PKR,75199,-1.8871947968866727
FEM,First Equity Modaraba,6.5,PKR,7.5,PKR,6.4,PKR,7.26,PKR,1688700,11.69230769230769
FEROZ,Ferozsons Laboratories Limited,421.03,PKR,432,PKR,415.2,PKR,418.33,PKR,129476,-0.5160523186682558
FFC,Fauji Fertilizer Co. Ltd.,433.5,PKR,440.15,PKR,430.51,PKR,439.26,PKR,1246210,1.3170337907969045
FFL,Fauji Foods Limited,17.25,PKR,17.4,PKR,16.98,PKR,17.04,PKR,9591268,-0.5253940455341498
FFLM,First Fidelity Leasing Modaraba,8.09,PKR,8.09,PKR,7.79,PKR,7.99,PKR,40284,0.7566204287515826
FHAM,First Habib Modaraba,32,PKR,32.5,PKR,31.52,PKR,32,PKR,32995,1.5873015873015872
FIBLM,First IBL Modaraba,8.96,PKR,9.2,PKR,8.5,PKR,8.93,PKR,44137,-0.3348214285714412
FIL,Fateh Industries Ltd,203.51,PKR,223,PKR,203.1,PKR,224.9,PKR,14,0
FIMM,First Imrooz Modaraba,200,PKR,200,PKR,200,PKR,208.59,PKR,25,0
FLYNG,Flying Cement Co. Ltd.,55.9,PKR,55.9,PKR,53.85,PKR,54.06,PKR,963071,-3.7050231563947245
FML,Feroze1888 Mills Limited,80,PKR,81,PKR,78.5,PKR,79.16,PKR,64993,-4.129829235799924
FNEL,First National Equities Limited,7.4,PKR,7.58,PKR,6.31,PKR,6.64,PKR,39775924,-5.681818181818187
FPJM,First Punjab Modaraba Services Pvt Ltd.,4.7,PKR,4.7,PKR,4.45,PKR,4.46,PKR,203819,-1.545253863134664
FPRM,First Paramount Modaraba,12.5,PKR,12.5,PKR,11.01,PKR,11.08,PKR,2124,-8.956450287592439
FRCL,Frontier Ceramics Limited,43.11,PKR,44.5,PKR,43.1,PKR,43.24,PKR,7637,0.11576753878213537
FRSM,Faran Sugar Mills Ltd,46.65,PKR,50,PKR,46.02,PKR,48.03,PKR,107754,4.413043478260872
FSWL,Fateh Sports Wear Ltd.,105.05,PKR,109,PKR,103.71,PKR,103.88,PKR,2192,-9.849865486418475
FTMM,First Treet Manufacturing Modaraba,18.25,PKR,18.25,PKR,18.05,PKR,18.07,PKR,800,-0.9863013698630121
