Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,14.35,PKR,14.5,PKR,14.13,PKR,14.26,PKR,79395,1.0630758327427383
AABS,Al-Abbas Sugar Mills Ltd.,1049,PKR,1057.95,PKR,1040,PKR,1040,PKR,127,-0.8891387837953673
AATM,Ali Asghar Textile Mills Limited,49.96,PKR,55.1,PKR,49.96,PKR,52.76,PKR,40768,5.330405270513065
ABL,Allied Bank Limited,172.65,PKR,173,PKR,171,PKR,171.29,PKR,53059,-0.6150275601972743
ABOT,Abbott Laboratories Pakistan Limited,1189.9,PKR,1193.9,PKR,1175,PKR,1180,PKR,6930,0.0008474648090230346
ACPL,Attock Cement Pakistan Limited,285.99,PKR,285.99,PKR,281,PKR,281.56,PKR,112679,-0.859154929577464
ADAMS,Adam Sugar Mills Limited,71.21,PKR,76.7,PKR,69,PKR,70.55,PKR,1677,-4.533152909336953
ADMM,Artistic Denim Mills Limited,59.85,PKR,60.01,PKR,58.75,PKR,59.51,PKR,44167,1.6396242527754072
AGHA,Agha Steel Industries Ltd.,9.99,PKR,10.35,PKR,9.67,PKR,9.93,PKR,61302066,1.6376663254861836
AGIC,Askari General Insurance Co. Ltd.,45.8,PKR,46.2,PKR,45.1,PKR,46.1,PKR,4887,2.1040974529346683
AGIL,Agriauto Industries Limited,142.8,PKR,145,PKR,140.31,PKR,142.81,PKR,12538,0.04904021297463442
AGL,Agritech Limited,72.89,PKR,73.73,PKR,70.12,PKR,70.77,PKR,1075083,-1.3383521539105088
AGP,AGP Limited,190.01,PKR,193.99,PKR,175.66,PKR,186.05,PKR,433600,-2.0841008367980525
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,8.98,PKR,9.12,PKR,8.61,PKR,8.89,PKR,297194,-1.0022271714922033
AGTL,Al-Ghazi Tractors Ltd.,393,PKR,402.22,PKR,393,PKR,394.84,PKR,20799,0.41709053916581545
AHCL,Arif Habib Corporation Limited,13.51,PKR,13.84,PKR,13.43,PKR,13.59,PKR,2554341,-0.29347028613353576
AHL,Arif Habib Limited,95.9,PKR,96.49,PKR,95.17,PKR,96.05,PKR,51415,0.2923671295812897
AHTM,Ahmed Hassan Textile Mills Ltd.,80,PKR,80,PKR,80,PKR,77.44,PKR,30,0
AICL,Adamjee Insurance Co. Limited,71,PKR,71.45,PKR,69.56,PKR,70.16,PKR,396621,-0.72166407244942
AIRLINK,Air Link Communication Ltd.,155.64,PKR,156.92,PKR,153.11,PKR,154.53,PKR,1290662,-0.7131842713955187
AKBL,Askari Bank Limited,83.5,PKR,84.83,PKR,82.32,PKR,84.16,PKR,2113723,0.07134363852556752
AKDHL,AKD Hospitality Limited,170,PKR,170,PKR,166.01,PKR,170,PKR,544,0.0058826989822877256
AKDSL,AKD Securities Limited,32.25,PKR,32.99,PKR,31.86,PKR,31.98,PKR,199530,-1.143740340030915
AKGL,Al-Khair Gadoon Limited,59.93,PKR,59.93,PKR,59,PKR,59,PKR,1126,-1.568234901568231
ALAC,Askari Life Assurance Co. Ltd.,12.2,PKR,12.8,PKR,12.15,PKR,12.43,PKR,4742485,2.982601491300741
ALIFE,Adamjee Life Assurance Company Limited,34,PKR,34.95,PKR,33.11,PKR,34.55,PKR,1750,1.617647058823521
ALNRS,Al-Noor Sugar Mills Limited,100,PKR,105,PKR,95.05,PKR,99.79,PKR,138,0
ALTN,Altern Energy Limited,12.62,PKR,12.62,PKR,12.41,PKR,12.44,PKR,433998,-0.7974481658692156
AMBL,Apna Microfinance Bank Limited,11,PKR,11,PKR,11,PKR,11,PKR,2003,0
AMTEX,Amtex Limited,4.24,PKR,4.32,PKR,4.09,PKR,4.1,PKR,1988120,-0.24330900243310644
ANL,Azgard Nine Limited,12.25,PKR,12.45,PKR,12.15,PKR,12.4,PKR,974262,1.2244897959183703
ANSM,Ansari Sugar Mills Limited,19.48,PKR,19.48,PKR,17.52,PKR,18,PKR,48090,-2.9649595687331574
ANTM,AN Textile Mills Limited,27.87,PKR,28.9,PKR,25.36,PKR,26.56,PKR,3698,-4.700394689630435
APL,Attock Petroleum Limited,522.1,PKR,525.49,PKR,520.32,PKR,523.79,PKR,13986,0.4006133793367678
ARCTM,Arctic Textile Mills Limited,38,PKR,39.99,PKR,38,PKR,39.94,PKR,552,5.105263157894731
ARPAK,Arpak International Investments Ltd.,63.8,PKR,63.8,PKR,63.8,PKR,63.8,PKR,9013,9.999999999999995
ARPL,Archroma Pakistan Limited,472,PKR,478.72,PKR,468,PKR,474.59,PKR,5794,0.34463802435723856
ARUJ,Aruj Industries Ltd.,10.4,PKR,10.59,PKR,10.15,PKR,10.31,PKR,53778,-0.3864734299516826
ASC,Al Shaheer Corp. Ltd.,19.4,PKR,19.8,PKR,18.7,PKR,18.82,PKR,568332,-3.9305768249106663
ASHT,Ashfaq Textile Mills Limited,24.11,PKR,24.11,PKR,23.5,PKR,24,PKR,4558,0.41841004184101016
ASIC,Asia Insurance Co. Ltd. (Pakistan),15.35,PKR,15.35,PKR,15.35,PKR,17,PKR,100,0
ASL,Aisha Steel Mills Ltd.,14.25,PKR,15.38,PKR,13.87,PKR,15.09,PKR,23190120,7.173295454545453
ASTL,Amreli Steels Ltd.,27,PKR,27.96,PKR,26,PKR,27.96,PKR,5554277,9.992132179386306
ASTM,Asim Textile Mills Ltd.,33,PKR,33,PKR,31.75,PKR,32.63,PKR,5241,1.4930015552099658
ATBA,Atlas Battery Limited,275.1,PKR,276.98,PKR,266,PKR,266.82,PKR,46501,-2.9604306080884446
ATIL,Atlas Insurance Limited,79.51,PKR,79.53,PKR,79,PKR,79.5,PKR,12090,0.6074411541381979
ATLH,Atlas Honda Limited,1232,PKR,1320,PKR,1230,PKR,1268.1,PKR,25229,3.8158314844984322
ATRL,Attock Refinery Ltd,668,PKR,670.74,PKR,658,PKR,659.28,PKR,892360,-0.8914478134724467
AVN,Avanceon Ltd.,53.39,PKR,54.3,PKR,52.3,PKR,52.54,PKR,7040954,0.3246133282413628
BAFL,Bank Alfalah Limited,104,PKR,104.99,PKR,102.5,PKR,102.76,PKR,848408,-1.2018075185078356
BAFS,Baba Farid Sugar Mills Limited,235.01,PKR,245,PKR,225,PKR,240.33,PKR,649,-0.9601912140443354
BAHL,Bank Al Habib Ltd.,191.03,PKR,192.48,PKR,189,PKR,190.14,PKR,577036,-0.4658954090980552
BAPL,Bawany Air Products Limited.,48.02,PKR,48.93,PKR,46,PKR,46.66,PKR,41169,-1.7477363655506535
BATA,Bata Pakistan Limited,1515.05,PKR,1531.99,PKR,1515.05,PKR,1520.06,PKR,356,-0.5788437514307667
BBFL,Big Bird Foods Limited,48,PKR,48.9,PKR,48,PKR,48.7,PKR,1803163,1.542952460383657
BCL,Bolan Castings Ltd.,100.25,PKR,105,PKR,99,PKR,102.23,PKR,88015,2.373322651712402
BECO,BECO Steel Limited,23.86,PKR,23.86,PKR,23.86,PKR,23.86,PKR,4975000,10.00461041954817
BELA,Bela Automotives Ltd.,120.1,PKR,127,PKR,115,PKR,126.77,PKR,783,1.1893358876117457
BERG,Berger Paints Pakistan Limited.,120.37,PKR,120.8,PKR,118,PKR,118.07,PKR,119931,-1.9107751100772712
BFAGRO,Barkat Frisian Agro Limited,44,PKR,45.25,PKR,40.12,PKR,41.44,PKR,6377248,-5.668108354199868
BFBIO,BF Biosciences Ltd,168.99,PKR,169,PKR,165,PKR,165.48,PKR,489045,-1.217765042979955
BFMOD,BF Modaraba,13.2,PKR,13.2,PKR,12.55,PKR,12.74,PKR,14804,-1.240310077519381
BGL,Balochistan Glass Ltd.,15.4,PKR,15.5,PKR,14.85,PKR,14.97,PKR,1304983,-2.6657997399219773
BHAT,Bhanero Textile Mills Limited.,950.02,PKR,975,PKR,949,PKR,965,PKR,309,-2.2289766970618032
BIFO,Biafo Industries Limited,183,PKR,185,PKR,181.75,PKR,183.51,PKR,23846,0.289649141982731
BILF,Bilal Fibres Limited,24,PKR,26.39,PKR,23.1,PKR,26.39,PKR,478798,10.004168403501469
BIPL,BankIslami Pakistan Limited,36.36,PKR,36.97,PKR,36.02,PKR,36.11,PKR,261889,-0.6875687568756876
BML,Bank Makramah Limited,6.65,PKR,6.8,PKR,6.52,PKR,6.61,PKR,10924286,-0.451807228915653
BNL,Bunny's Ltd.,140.87,PKR,144,PKR,140,PKR,140.24,PKR,1237506,-0.45428733674047866
BNWM,Bannu Woollen Mills Limited,78,PKR,78,PKR,75,PKR,76.02,PKR,19978,-1.3495977160654116
BOK,Bank of Khyber,26.11,PKR,26.11,PKR,25.6,PKR,25.64,PKR,10711,-1.0802469135802513
BOP,Bank of Punjab,18.3,PKR,18.3,PKR,17.6,PKR,17.81,PKR,39006257,-1.9812878370941274
BPL,Burshane LPG (Pakistan) Limited,34.5,PKR,34.75,PKR,33.51,PKR,34.01,PKR,7393,-1.4202898550724696
BRRG,B.R.R. Guardian limited,30.3,PKR,31.65,PKR,29.51,PKR,29.72,PKR,3361,-1.8169805087545448
BTL,Blessed Textiles Limited,322.98,PKR,322.98,PKR,301.15,PKR,310.05,PKR,84,0
BUXL,Buxly Paints Limited,175,PKR,178,PKR,171.5,PKR,172.39,PKR,341,-0.271896332292044
BWCL,Bestway Cement Limited,574.49,PKR,574.49,PKR,568,PKR,570.01,PKR,5127,-0.05610786737503726
BWHL,Baluchistan Wheels Limited,190,PKR,191.99,PKR,187,PKR,188.97,PKR,54870,-0.4635238346062658
CASH,CALCORP Limited,44.01,PKR,47.49,PKR,43,PKR,43.57,PKR,629,-0.999772778913878
CCM,Crescent Cotton Mills Limited,55,PKR,56.98,PKR,51.01,PKR,52.81,PKR,3002,-0.7330827067669183
CENI,"Century Insurance Co., Ltd.",49.89,PKR,49.89,PKR,47.04,PKR,47.54,PKR,2300,-3.7651821862348167
CEPB,Century Paper & Board Mills Limited,28.04,PKR,28.5,PKR,27.9,PKR,28.13,PKR,340010,-0.49522461973824045
CFL,Crescent Fibres Limited,94.01,PKR,94.01,PKR,77,PKR,90.37,PKR,16350,5.745377954598656
CHAS,Chashma Sugar Mills Limited,72.89,PKR,72.89,PKR,68,PKR,68.25,PKR,1809,-5.810102125310508
CHBL,Chenab Limited,24.4,PKR,26.58,PKR,23.5,PKR,26.16,PKR,715479,8.27814569536424
CHCC,Cherat Cement Co. Ltd.,357,PKR,360,PKR,351,PKR,351.45,PKR,132425,-1.8213816800290634
CJPL,Crescent Jute Products Ltd.,10.6,PKR,11.19,PKR,10.45,PKR,10.58,PKR,78090,-2.8466483011937602
CLOV,Clover Pakistan Limited,43.01,PKR,43.8,PKR,42.81,PKR,43.02,PKR,278317,0.046511627906984016
CLVL,Cordoba Logistics & Ventures Limited,19.96,PKR,20,PKR,18.07,PKR,18.83,PKR,21338,-2.0800832033281442
CNERGY,Cnergyico Pk Limited,7.17,PKR,7.23,PKR,7.09,PKR,7.13,PKR,4035328,-0.4189944134078247
COLG,Colgate-Palmolive (Pakistan) Limited,1300,PKR,1305,PKR,1297,PKR,1302.6,PKR,5982,0.34743353696584917
CPHL,Citi Pharma Ltd.,102.48,PKR,104.25,PKR,96.9,PKR,97.24,PKR,21051412,-4.451213520683896
CPPL,Cherat Packaging Limited,122,PKR,122,PKR,116.51,PKR,117.17,PKR,249240,-2.520798668885192
CRTM,Crescent Textile Mills Ltd.,21.5,PKR,22.13,PKR,21.15,PKR,21.64,PKR,1076129,1.310861423220979
CSAP,Crescent Steel & Allied Products Ltd,104.2,PKR,107.5,PKR,103.9,PKR,106,PKR,853360,1.7762842054728702
CSIL,Crescent Star Insurance Co. Ltd.,4.18,PKR,4.37,PKR,4.07,PKR,4.15,PKR,1286517,0.9732360097323608
CTM,Colony Textile Mills Ltd.,6.41,PKR,6.8,PKR,6.4,PKR,6.65,PKR,687701,2.307692307692313
CWSM,Chakwal Spinning Mills Limited,33.52,PKR,34.2,PKR,33.5,PKR,33.81,PKR,105264,-1.4573010784027978
CYAN,CYAN Ltd,38.1,PKR,38.89,PKR,37.7,PKR,37.95,PKR,64347,-1.4285714285714213
DAAG,Data Agro Ltd.,106.25,PKR,108,PKR,105.51,PKR,107.69,PKR,1596,1.079406795569731
DADX,Dadex Eternit Limited,65.4,PKR,65.4,PKR,63.1,PKR,65.4,PKR,1508,0.46082949308757515
DBCI,Dadabhoy Cement Industries Limited,7.07,PKR,7.74,PKR,7.07,PKR,7.3,PKR,250098,-2.406417112299473
DCL,Dewan Cement Ltd.,14.1,PKR,14.2,PKR,13.7,PKR,13.78,PKR,3954151,-1.501072194424595
DEL,Dawood Equities Limited,17,PKR,17,PKR,16.2,PKR,16.26,PKR,2005,-4.352941176470579
DFML,Dewan Farooque Motors Limited,35.1,PKR,35.81,PKR,34.76,PKR,35.29,PKR,3695583,1.2916188289322494
DFSM,Dewan Farooque Spinning Mills Limited,5.93,PKR,6.2,PKR,5.93,PKR,6.01,PKR,361094,0.6700167504187611
DGKC,D.G. Khan Cement Co. Ltd.,235.5,PKR,236.7,PKR,230.1,PKR,231.97,PKR,3165903,-1.4319707657006904
DHPL,DH Partners Limited,43.85,PKR,43.95,PKR,43,PKR,43.37,PKR,398409,-1.1847801321485603
DIIL,Diamond Industries Limited,39.02,PKR,42.92,PKR,36.3,PKR,42.92,PKR,1897,9.994874423372625
DINT,Din Textile Mills Limited,79.98,PKR,79.98,PKR,77.68,PKR,77.66,PKR,86,0
DLL,Dawood Lawrencepur Limited,319.99,PKR,327.48,PKR,300,PKR,300.2,PKR,2371,0.06333122229258949
DMC,D.M. Corporation Limited,58.47,PKR,58.47,PKR,58.47,PKR,53.15,PKR,1,0
DMTM,Dewan Mushtaq Textile Mills Limited,14.45,PKR,15.72,PKR,14.42,PKR,15.69,PKR,3762,7.9092159559834965
DNCC,Dandot Cement Co. Ltd.,16.28,PKR,16.65,PKR,16,PKR,16.2,PKR,30042,1.5673981191222572
DOL,Descon Oxychem Limited,39.58,PKR,39.9,PKR,38.9,PKR,39.11,PKR,850505,-0.5087763927753824
DSIL,D.S. Industries Ltd.,6.41,PKR,7.55,PKR,6.16,PKR,7.55,PKR,9543742,15.267175572519085
DSL,Dost Steel Ltd.,9.62,PKR,10.6,PKR,9.62,PKR,10.21,PKR,18589495,6.133056133056151
DWAE,Dewan Automotive Engineering Ltd.,28.61,PKR,28.92,PKR,28.41,PKR,28.5,PKR,7870,-1.7241379310344827
DWSM,Dewan Sugar Mills Limited,6.2,PKR,6.45,PKR,6.1,PKR,6.15,PKR,45023,-0.32414910858994445
DWTM,Dewan Textile Mills Limited,6.91,PKR,7.64,PKR,6.83,PKR,7.44,PKR,4555,1.2244897959183776
DYNO,Dynea Pakistan Limited,333,PKR,340,PKR,298,PKR,325.54,PKR,43792,-1.4798898405108454
ECOP,Ecopack Limited,67,PKR,71,PKR,65.12,PKR,67.3,PKR,2576359,1.2486836166691715
EFERT,Engro Fertilizers Ltd.,216,PKR,220,PKR,214,PKR,215.14,PKR,1691680,-0.8708473482928695
EFUG,EFU General Insurance Ltd.,127.47,PKR,127.47,PKR,123.21,PKR,126.19,PKR,484,1.8811561440335849
EFUL,EFU Life Assurance Limited,159,PKR,159,PKR,156,PKR,156.12,PKR,1610,-0.5098139179199485
ELCM,Elahi Cotton Mills Limited,235,PKR,235,PKR,210,PKR,211.41,PKR,662,-6.023293029871982
ELSM,Ellcot Spinning Mills Limited,112.22,PKR,112.22,PKR,112.2,PKR,115.02,PKR,11,0
EMCO,Emco Industries Limited,64.11,PKR,64.89,PKR,63,PKR,63.5,PKR,18336,-1.3822022053113847
ENGROH,Engro Holdings Limited,239,PKR,240,PKR,233.5,PKR,234.75,PKR,1557460,-2.1630407601900465
EPCL,Engro Polymer & Chemicals Limited,32.1,PKR,33,PKR,30.9,PKR,31.06,PKR,3218565,-3.779429987608433
EPQL,Engro Powergen Qadirpur Ltd,29.46,PKR,29.68,PKR,29.35,PKR,29.5,PKR,155001,0.13577732518669094
ESBL,Escorts Investment Bank Limited,6,PKR,6.59,PKR,5.81,PKR,6.37,PKR,76704,4.769736842105264
EWIC,East West Insurance Co. Ltd.,63.01,PKR,63.02,PKR,51.56,PKR,57.29,PKR,42,0
EXIDE,Exide Pakistan Ltd.,702.5,PKR,710,PKR,697,PKR,697.66,PKR,51432,-0.5729107285372224
FABL,Faysal Bank Limited,76.93,PKR,76.95,PKR,75.5,PKR,75.76,PKR,838719,-0.9414225941422579
FANM,First Al-Noor Modaraba,5.5,PKR,5.78,PKR,5.4,PKR,5.45,PKR,352076,3.0245746691871482
FASM,Faisal Spinning Mills Limited,369.98,PKR,369.99,PKR,364.99,PKR,360.35,PKR,64,0
FATIMA,Fatima Fertilizer Co. Ltd.,124.11,PKR,124.84,PKR,121.03,PKR,123.28,PKR,338572,-0.7567219449364013
FCCL,Fauji Cement Co. Ltd.,58.35,PKR,58.75,PKR,56.8,PKR,57.01,PKR,5904535,-1.9604471195184876
FCEL,First Capital Equities Ltd.,6.05,PKR,6.35,PKR,5.92,PKR,6.08,PKR,241192,0.9966777408637957
FCEPL,Frieslandcampina Engro Pakistan Limited,86.1,PKR,86.9,PKR,84.75,PKR,84.97,PKR,632081,-1.4497796334957087
FCIBL,First Credit & Investment Bank Limited,13.69,PKR,13.69,PKR,13.6,PKR,13.43,PKR,70,0
FCL,Fast Cables Ltd.,23.98,PKR,24.08,PKR,23.73,PKR,23.82,PKR,1560486,-0.66722268557131
FCSC,First Capital Securities Corporation Limited,3.12,PKR,3.36,PKR,3.06,PKR,3.17,PKR,21357352,5.666666666666664
FDPL,First Dawood Properties Limited,6.65,PKR,6.9,PKR,6.55,PKR,6.61,PKR,3244118,-0.750750750750748
FECM,First Elite Capital Modaraba,27.01,PKR,28.64,PKR,24.05,PKR,28.64,PKR,69626,9.984639016897088
FECTC,Fecto Cement Limited,94.7,PKR,95.96,PKR,92.3,PKR,95.42,PKR,61341,1.1340752517223185
FEM,First Equity Modaraba,6.6,PKR,6.7,PKR,6.25,PKR,6.49,PKR,251361,-1.2176560121765612
FEROZ,Ferozsons Laboratories Limited,414.98,PKR,417.45,PKR,408,PKR,410.04,PKR,84084,-0.06823942288944548
FFC,Fauji Fertilizer Co. Ltd.,452,PKR,454.86,PKR,445,PKR,446.99,PKR,604518,-1.3158185230157808
FFL,Fauji Foods Limited,18.51,PKR,19.19,PKR,18.42,PKR,18.95,PKR,40779681,2.989130434782613
FFLM,First Fidelity Leasing Modaraba,8.1,PKR,8.1,PKR,7.3,PKR,7.65,PKR,50387,-2.918781725888319
FHAM,First Habib Modaraba,34.93,PKR,34.93,PKR,34.1,PKR,34.68,PKR,10728,-0.71571714858288
FIBLM,First IBL Modaraba,8.7,PKR,8.8,PKR,8.3,PKR,8.37,PKR,35975,-1.6451233842538258
FIL,Fateh Industries Ltd,192.01,PKR,204.92,PKR,192,PKR,197.05,PKR,283,-4.432804694699057
FIMM,First Imrooz Modaraba,245,PKR,252.4,PKR,220,PKR,251.9,PKR,132,9.784266724776648
FLYNG,Flying Cement Co. Ltd.,51.5,PKR,51.98,PKR,50.4,PKR,50.89,PKR,98273,-0.17653981953706613
FML,Feroze1888 Mills Limited,78.9,PKR,78.9,PKR,76.53,PKR,78.9,PKR,1330,-0.012672665061450901
FNEL,First National Equities Limited,10.15,PKR,10.38,PKR,9.05,PKR,9.95,PKR,61993776,3.215767634854758
FPJM,First Punjab Modaraba Services Pvt Ltd.,4.6,PKR,4.65,PKR,4.41,PKR,4.59,PKR,59199,1.7738359201773852
FPRM,First Paramount Modaraba,10.3,PKR,10.48,PKR,10,PKR,10.33,PKR,20882,0.29126213592232386
FRCL,Frontier Ceramics Limited,47,PKR,47.05,PKR,45,PKR,46.45,PKR,18097,5.3287981859410465
FRSM,Faran Sugar Mills Ltd,53.25,PKR,54.38,PKR,52,PKR,52.92,PKR,30312,0.07564296520423439
FSWL,Fateh Sports Wear Ltd.,97,PKR,105,PKR,97,PKR,103.54,PKR,20,0
FTMM,First Treet Manufacturing Modaraba,19.1,PKR,19.48,PKR,18.67,PKR,18.68,PKR,3177,-1.2162876784769985
FTSM,First Tri-Star Modaraba,15,PKR,15.4,PKR,13.68,PKR,15.34,PKR,913,9.571428571428571
FZCM,Fazal Cloth Mills Limited,285,PKR,291.9,PKR,280,PKR,282.32,PKR,733,-0.5810472937282227
GADT,Gadoon Textile Mills Limited,435.99,PKR,436,PKR,420.01,PKR,430.53,PKR,9185,-0.09282250017405011
GAL,Ghandhara Automobiles Limited,581.21,PKR,595,PKR,578.01,PKR,579.35,PKR,1454356,0.35683971660691494
GAMON,Gammon Pakistan Limited,28.05,PKR,28.5,PKR,27.6,PKR,27.68,PKR,34839,-1.2134189864382579
GATI,Gatron Industries Ltd.,132.94,PKR,134.9,PKR,131.7,PKR,132.22,PKR,132246,0.5475285171102653
GATM,Gul Ahmed Textile Mills Limited,39,PKR,39.25,PKR,37.8,PKR,38.12,PKR,1077457,-2.2313413695819557
GCIL,Ghani Chemical Industries Limited,34.3,PKR,34.89,PKR,33.75,PKR,34.42,PKR,3562499,0.3498542274052611
GCWL,Ghani ChemWorld Limited Registered Shs,17,PKR,18.21,PKR,16.85,PKR,18.21,PKR,13225869,10.030211480362539
GEMBCEM,Burj Clean Energy Modaraba,11.26,PKR,11.26,PKR,11.26,PKR,11.26,PKR,10000,9.214354995150332
GEMBLUEX,Blue Ex Limited,67,PKR,74,PKR,60.55,PKR,69.93,PKR,40750,3.95421436004164
