Symbol,Description,Open 1 day,Open 1 day - Currency,High 1 day,High 1 day - Currency,Low 1 day,Low 1 day - Currency,Price,Price - Currency,Volume 1 day,Price Change % 1 day
786,786 Investments Limited,12.84,PKR,13.11,PKR,11.7,PKR,13.1,PKR,156835,1.0023130300693832
AABS,Al-Abbas Sugar Mills Ltd.,1039,PKR,1039,PKR,1030,PKR,1030,PKR,53,-0.5061628221475222
AATM,Ali Asghar Textile Mills Limited,49,PKR,49.9,PKR,47,PKR,48.12,PKR,604,1.7766497461928856
ABL,Allied Bank Limited,207.98,PKR,212,PKR,205.64,PKR,206.46,PKR,515995,0.038763446070361716
ABOT,Abbott Laboratories Pakistan Limited,1200.1,PKR,1220,PKR,1200.1,PKR,1211.95,PKR,4466,1.4872005292290162
ACPL,Attock Cement Pakistan Limited,305,PKR,309.99,PKR,303.1,PKR,304.22,PKR,566933,0.03946070371588443
ADAMS,Adam Sugar Mills Limited,68,PKR,78.49,PKR,68,PKR,75,PKR,5715,5.056730634542652
ADMM,Artistic Denim Mills Limited,48.9,PKR,51.89,PKR,47.3,PKR,50.43,PKR,167718,6.911172355310574
AGHA,Agha Steel Industries Ltd.,9.21,PKR,9.21,PKR,8.88,PKR,8.91,PKR,3522958,-2.0879120879120827
AGIC,Askari General Insurance Co. Ltd.,47.21,PKR,47.6,PKR,46.3,PKR,46.5,PKR,34009,-1.5039186613005737
AGIL,Agriauto Industries Limited,140.39,PKR,143,PKR,140,PKR,142.99,PKR,19694,1.8519837595270483
AGL,Agritech Limited,75.9,PKR,75.95,PKR,74.25,PKR,75.14,PKR,113522,0.06658676255160095
AGP,AGP Limited,197.99,PKR,199,PKR,192,PKR,192.16,PKR,356532,-1.3400421009395767
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,8.95,PKR,8.95,PKR,8.64,PKR,8.66,PKR,220527,-0.6880733944954185
AGTL,Al-Ghazi Tractors Ltd.,484.99,PKR,497,PKR,437.01,PKR,442.89,PKR,355320,-6.1474888747616
AHCL,Arif Habib Corporation Limited,16,PKR,16.39,PKR,16,PKR,16.35,PKR,6415159,2.4436090225563945
AHL,Arif Habib Limited,109.55,PKR,118.22,PKR,109,PKR,115.99,PKR,265114,6.432372912460993
AHTM,Ahmed Hassan Textile Mills Ltd.,106.33,PKR,109.97,PKR,100,PKR,102.55,PKR,2120,-3.5549703752468744
AICL,Adamjee Insurance Co. Limited,86.98,PKR,88,PKR,84,PKR,85.75,PKR,420021,-0.3717904031602105
AIRLINK,Air Link Communication Ltd.,155.56,PKR,170.98,PKR,155.06,PKR,170.59,PKR,16105961,9.74652599073598
AKBL,Askari Bank Limited,105,PKR,108.51,PKR,103,PKR,103.67,PKR,7813575,-0.1637134052388306
AKDHL,AKD Hospitality Limited,173.99,PKR,173.99,PKR,173.99,PKR,174.12,PKR,5,0
AKDSL,AKD Securities Limited,39.15,PKR,39.25,PKR,37.83,PKR,38.85,PKR,644551,0.8305216714248645
AKGL,Al-Khair Gadoon Limited,50,PKR,53,PKR,50,PKR,53.13,PKR,6,0
ALAC,Askari Life Assurance Co. Ltd.,13.24,PKR,13.24,PKR,12.9,PKR,12.95,PKR,1148407,-0.30792917628946054
ALIFE,Adamjee Life Assurance Company Limited,36,PKR,36,PKR,34.65,PKR,36.05,PKR,175,0
ALNRS,Al-Noor Sugar Mills Limited,102,PKR,102,PKR,95,PKR,96.77,PKR,1933,-5.127450980392161
ALTN,Altern Energy Limited,13.81,PKR,14.05,PKR,13.32,PKR,13.59,PKR,424364,-1.3071895424836582
AMBL,Apna Microfinance Bank Limited,10.99,PKR,10.99,PKR,10.94,PKR,10.94,PKR,1020,-5.281385281385291
AMTEX,Amtex Limited,4.14,PKR,4.23,PKR,4.02,PKR,4.04,PKR,1798989,-0.980392156862746
ANL,Azgard Nine Limited,12.8,PKR,12.8,PKR,12.54,PKR,12.57,PKR,1519019,-0.31720856463123825
ANSM,Ansari Sugar Mills Limited,16.3,PKR,16.3,PKR,15.31,PKR,15.85,PKR,4648,-0.9375000000000022
ANTM,AN Textile Mills Limited,37.02,PKR,41.9,PKR,37.01,PKR,38.52,PKR,16177,-1.5337423312883292
APL,Attock Petroleum Limited,540,PKR,578,PKR,540,PKR,560.49,PKR,690771,4.01016923990499
ARCTM,Arctic Textile Mills Limited,35.12,PKR,35.5,PKR,34.5,PKR,35.19,PKR,640,0.1993166287015954
ARPAK,Arpak International Investments Ltd.,54.9,PKR,65.9,PKR,54.9,PKR,65.9,PKR,351,17.155555555555566
ARPL,Archroma Pakistan Limited,460.89,PKR,470,PKR,460,PKR,460.51,PKR,9135,0.10651710795183016
ARUJ,Aruj Industries Ltd.,10.97,PKR,11,PKR,10.15,PKR,10.34,PKR,34201,-5.742935278031001
ASC,Al Shaheer Corp. Ltd.,16.81,PKR,17.19,PKR,15.95,PKR,16.02,PKR,1404706,-4.699583581201661
ASHT,Ashfaq Textile Mills Limited,20.11,PKR,22.49,PKR,20.1,PKR,22.49,PKR,1482,2.273760800363802
ASIC,Asia Insurance Co. Ltd. (Pakistan),15.4,PKR,15.4,PKR,15.4,PKR,14,PKR,10,-9.090909090909092
ASL,Aisha Steel Mills Ltd.,14.39,PKR,14.48,PKR,14.2,PKR,14.25,PKR,1329805,0.21097046413501658
ASTL,Amreli Steels Ltd.,23.89,PKR,23.89,PKR,23.01,PKR,23.18,PKR,2509030,-1.9458544839255534
ASTM,Asim Textile Mills Ltd.,24.09,PKR,24.09,PKR,22.75,PKR,23.99,PKR,413459,-0.04166666666667318
ATBA,Atlas Battery Limited,243.01,PKR,244.89,PKR,241.5,PKR,243.08,PKR,9637,0.23504185394417615
ATIL,Atlas Insurance Limited,87.85,PKR,87.85,PKR,82.92,PKR,83.01,PKR,35508,-0.871745880105075
ATLH,Atlas Honda Limited,1400,PKR,1410,PKR,1380.01,PKR,1385.83,PKR,20034,0.13584305791393342
ATRL,Attock Refinery Ltd,672.5,PKR,679.9,PKR,665.15,PKR,668.09,PKR,448107,-0.3341637700833931
AVN,Avanceon Ltd.,49.2,PKR,49.5,PKR,48.7,PKR,49.05,PKR,616336,0.26573998364676094
BAFL,Bank Alfalah Limited,117.5,PKR,119.9,PKR,115,PKR,115.49,PKR,4709983,-0.9519725557461401
BAFS,Baba Farid Sugar Mills Limited,239.77,PKR,239.77,PKR,227.5,PKR,239.15,PKR,134,0
BAHL,Bank Al Habib Ltd.,206.99,PKR,221.45,PKR,206.99,PKR,217.13,PKR,3937298,5.168071297103549
BAPL,Bawany Air Products Limited.,45,PKR,45.79,PKR,43.5,PKR,43.5,PKR,18330,-2.9667633281284815
BATA,Bata Pakistan Limited,1446,PKR,1453,PKR,1444,PKR,1448.99,PKR,1008,0.23173127472952523
BBFL,Big Bird Foods Limited,51.12,PKR,51.8,PKR,50.85,PKR,51.02,PKR,209832,-0.4293520686963288
BCL,Bolan Castings Ltd.,92.01,PKR,92.49,PKR,90.81,PKR,91.44,PKR,35931,-0.19646365422397602
BECO,BECO Steel Limited,49,PKR,51.68,PKR,48.3,PKR,51.68,PKR,5196462,10.004257130693919
BELA,Bela Automotives Ltd.,115.01,PKR,123.9,PKR,111.55,PKR,114.03,PKR,1535,-3.364406779661016
BERG,Berger Paints Pakistan Limited.,109.2,PKR,109.8,PKR,108.01,PKR,108.81,PKR,33205,-0.18346940647647267
BFAGRO,Barkat Frisian Agro Limited,41.49,PKR,42.14,PKR,40.97,PKR,41.06,PKR,1160105,0.024360535931802964
BFBIO,BF Biosciences Ltd,158,PKR,161.5,PKR,158,PKR,159.65,PKR,381398,1.2044374009508754
BFMOD,BF Modaraba,21.5,PKR,22.17,PKR,21.02,PKR,22.17,PKR,128924,10.024813895781653
BGL,Balochistan Glass Ltd.,14.99,PKR,15.5,PKR,14.99,PKR,15.2,PKR,753348,1.7402945113788475
BHAT,Bhanero Textile Mills Limited.,803.01,PKR,850,PKR,803.01,PKR,850,PKR,3,0
BIFO,Biafo Industries Limited,168.5,PKR,168.5,PKR,165,PKR,167.63,PKR,30938,-0.13106940720881674
BILF,Zuma Resources Limited,39,PKR,40.8,PKR,37.6,PKR,38.08,PKR,37318,-2.08279763435331
BIPL,BankIslami Pakistan Limited,40.2,PKR,40.63,PKR,39.75,PKR,39.82,PKR,1967113,-1.2400793650793651
BML,Bank Makramah Limited,7.87,PKR,7.87,PKR,7.45,PKR,7.49,PKR,42244891,-3.3548387096774164
BNL,Bunny's Ltd.,125.65,PKR,126.04,PKR,122,PKR,123.2,PKR,359494,-0.7172213715851403
BNWM,Bannu Woollen Mills Limited,69.45,PKR,69.45,PKR,67.02,PKR,67.38,PKR,18119,-1.0863182618907943
BOK,Bank of Khyber,36,PKR,36.57,PKR,35.3,PKR,36.03,PKR,221289,1.7509178198249213
BOP,Bank of Punjab,40.9,PKR,41.54,PKR,39.52,PKR,39.73,PKR,128882267,0.8119766556711502
BPL,Burshane LPG (Pakistan) Limited,33.48,PKR,33.5,PKR,32.9,PKR,33,PKR,15290,-0.8115419296663755
BRRG,B.R.R. Guardian limited,44,PKR,45.9,PKR,41.87,PKR,45.89,PKR,442795,5.10765002290427
BTL,Blessed Textiles Limited,306.56,PKR,308.89,PKR,305.1,PKR,305.12,PKR,319,1.5002827583912681
BUXL,Buxly Paints Limited,155.2,PKR,156.5,PKR,150.2,PKR,151.43,PKR,795,-3.4185853689648478
BWCL,Bestway Cement Limited,624.95,PKR,626,PKR,618,PKR,624.17,PKR,18392,1.2884799506677604
BWHL,Baluchistan Wheels Limited,182.5,PKR,189,PKR,182.5,PKR,184.89,PKR,76158,2.0814929328621807
CASH,CALCORP Limited,65,PKR,65,PKR,59.5,PKR,62.88,PKR,1742,-0.8827238335434981
CCM,Crescent Cotton Mills Limited,54,PKR,62,PKR,54,PKR,59.5,PKR,139,0
CENI,"Century Insurance Co., Ltd.",51.93,PKR,52,PKR,50,PKR,51,PKR,3072,-1.7908723281340262
CEPB,Century Paper & Board Mills Limited,26.21,PKR,27.59,PKR,25.7,PKR,27.18,PKR,3447587,4.058192955589582
CFL,Crescent Fibres Limited,69.99,PKR,69.99,PKR,68,PKR,64.41,PKR,6,0
CHAS,Chashma Sugar Mills Limited,70.51,PKR,74,PKR,67.01,PKR,72.99,PKR,9060,3.531914893617014
CHBL,Chenab Limited,18.19,PKR,18.68,PKR,17.11,PKR,17.71,PKR,1288457,-2.6923076923076836
CHCC,Cherat Cement Co. Ltd.,334.99,PKR,338.96,PKR,330,PKR,332.37,PKR,294566,-0.7821128988925057
CJPL,Crescent Jute Products Ltd.,13,PKR,14.3,PKR,13,PKR,13.07,PKR,697735,0.5384615384615407
CLOV,Clover Pakistan Limited,44.25,PKR,45.5,PKR,44.25,PKR,44.5,PKR,503983,0.18009905447996014
CLVL,Cordoba Logistics & Ventures Limited,17.35,PKR,17.35,PKR,16.43,PKR,16.9,PKR,1902,0.7151370679380061
CNERGY,Cnergyico Pk Limited,8.2,PKR,8.29,PKR,8.1,PKR,8.11,PKR,17753707,-0.49079754601228126
COLG,Colgate-Palmolive (Pakistan) Limited,1289.95,PKR,1292.99,PKR,1282,PKR,1285.44,PKR,7558,-0.2413565635792092
CPHL,Citi Pharma Ltd.,91.94,PKR,92.5,PKR,90,PKR,91.22,PKR,1762986,0.6065953457593439
CPPL,Cherat Packaging Limited,105.99,PKR,105.99,PKR,104,PKR,104.62,PKR,41936,-0.9842892296043839
CRTM,Crescent Textile Mills Ltd.,24.7,PKR,24.95,PKR,24.25,PKR,24.79,PKR,266021,0.608766233766228
CSAP,Crescent Steel & Allied Products Ltd,98,PKR,98.36,PKR,96.41,PKR,96.93,PKR,186762,-0.4825462012320317
CSIL,Crescent Star Insurance Co. Ltd.,6.09,PKR,6.23,PKR,5.9,PKR,5.99,PKR,1003089,-1.4802631578947345
CTM,Colony Textile Mills Ltd.,6.25,PKR,6.25,PKR,5.9,PKR,5.97,PKR,370880,-2.131147540983605
CWSM,Chakwal Spinning Mills Limited,30.49,PKR,30.49,PKR,29.45,PKR,29.71,PKR,130073,-1.2628780325689566
CYAN,CYAN Ltd,44.7,PKR,45.6,PKR,44.2,PKR,44.82,PKR,983460,-0.28921023359288667
DAAG,Data Agro Ltd.,101,PKR,102.45,PKR,100,PKR,100.3,PKR,5950,0.1397763578274766
DADX,Dadex Eternit Limited,62.21,PKR,62.21,PKR,62.2,PKR,62.77,PKR,140,0
DBCI,Dadabhoy Cement Industries Limited,7.06,PKR,7.29,PKR,7,PKR,7.05,PKR,133122,-1.6736401673640184
DCL,Dewan Cement Ltd.,14.35,PKR,14.49,PKR,13.96,PKR,14.01,PKR,4470914,-2.0964360587002147
DEL,Dawood Equities Limited,16,PKR,16.3,PKR,15.99,PKR,16.25,PKR,87561,1.2461059190031107
DFML,Dewan Farooque Motors Limited,31.2,PKR,31.31,PKR,29.82,PKR,30.03,PKR,3888080,-2.6895657809462032
DFSM,Dewan Farooque Spinning Mills Limited,6,PKR,6.1,PKR,5.83,PKR,5.87,PKR,304774,-1.3445378151260516
DGKC,D.G. Khan Cement Co. Ltd.,241.77,PKR,243.49,PKR,238.21,PKR,239.98,PKR,1541765,-0.21206702981413753
DHPL,DH Partners Limited,44.31,PKR,44.49,PKR,43.7,PKR,43.74,PKR,118922,-1.2863913337846993
DIIL,Diamond Industries Limited,63.5,PKR,63.5,PKR,55,PKR,58,PKR,590,0
DINT,Din Textile Mills Limited,74.28,PKR,74.28,PKR,71.11,PKR,74.27,PKR,4,0
DLL,Dawood Lawrencepur Limited,354.2,PKR,364,PKR,353.2,PKR,363.95,PKR,2117,-0.145412642669016
DMC,D.M. Corporation Limited,270,PKR,300,PKR,270,PKR,300,PKR,921,3.910498424024115
DMTM,Dewan Mushtaq Textile Mills Limited,10.48,PKR,10.99,PKR,10.45,PKR,10.87,PKR,2351,4.41882804995196
DNCC,Dandot Cement Co. Ltd.,15.36,PKR,16.5,PKR,15.35,PKR,16.5,PKR,39734,0.7941356139279108
DOL,Descon Oxychem Limited,34.9,PKR,35.4,PKR,34.61,PKR,34.95,PKR,185136,0.4310344827586371
DSIL,D.S. Industries Ltd.,12.21,PKR,13.52,PKR,12.02,PKR,13.2,PKR,1802023,7.404393816110661
DSL,Dost Steel Ltd.,9.49,PKR,9.65,PKR,9.35,PKR,9.36,PKR,104841,-0.7423117709437994
DWAE,Dewan Automotive Engineering Ltd.,27.94,PKR,27.94,PKR,23.72,PKR,25.46,PKR,18720,-3.0095238095238064
DWSM,Dewan Sugar Mills Limited,7.92,PKR,8.2,PKR,7.25,PKR,7.49,PKR,873719,-3.8510911424903695
DWTM,Dewan Textile Mills Limited,6.52,PKR,6.82,PKR,6.5,PKR,6.82,PKR,1500,1.7910447761194044
DYNO,Dynea Pakistan Limited,307,PKR,311,PKR,295.01,PKR,300.24,PKR,31589,-2.291070033845341
ECOP,Ecopack Limited,68.9,PKR,69.75,PKR,67.01,PKR,67.19,PKR,1448064,-1.133019423190106
EFERT,Engro Fertilizers Ltd.,218,PKR,220.4,PKR,217.05,PKR,219.03,PKR,1064604,0.9959883801355636
EFUG,EFU General Insurance Ltd.,125.75,PKR,125.75,PKR,122.41,PKR,122.44,PKR,1007,-0.2606712284131699
EFUL,EFU Life Assurance Limited,155.01,PKR,157,PKR,155.01,PKR,155.02,PKR,1005,0.6361983900285758
ELCM,Elahi Cotton Mills Limited,186.86,PKR,196.96,PKR,186,PKR,195.26,PKR,21,0
ELSM,Ellcot Spinning Mills Limited,107,PKR,121,PKR,102,PKR,114.63,PKR,3579,4.2090909090909046
EMCO,Emco Industries Limited,68.64,PKR,70.97,PKR,61.78,PKR,61.93,PKR,455657,-9.775641025641027
ENGROH,Engro Holdings Limited,239,PKR,239.5,PKR,233.8,PKR,234.31,PKR,1068283,-1.0013520365049875
EPCL,Engro Polymer & Chemicals Limited,30.2,PKR,30.2,PKR,29.63,PKR,29.72,PKR,1445403,-1.5894039735099352
EPQL,Engro Powergen Qadirpur Ltd,30.47,PKR,30.47,PKR,29.9,PKR,30.04,PKR,185385,-0.8580858085808633
ESBL,Escorts Investment Bank Limited,11.4,PKR,11.79,PKR,11.05,PKR,11.79,PKR,909158,9.981343283582076
EWIC,East West Insurance Co. Ltd.,46.88,PKR,57.29,PKR,46.88,PKR,57.29,PKR,56,21.893617021276594
EXIDE,Exide Pakistan Ltd.,643,PKR,643,PKR,635,PKR,637.68,PKR,5578,-0.3733966597403565
FABL,Faysal Bank Limited,94.93,PKR,99.35,PKR,94.07,PKR,95.97,PKR,7579650,1.695454063791453
FANM,First Al-Noor Modaraba,8.2,PKR,8.4,PKR,8.15,PKR,8.16,PKR,136903,-0.48780487804877015
FASM,Faisal Spinning Mills Limited,327,PKR,331.1,PKR,319.5,PKR,330.96,PKR,1621,9.953488372093016
